,,Hokuriku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokuriku
4/6/22,18:00,0,2148,1448,0,78,0,28,0,0,0,-510,0,0,3193,18.76
4/6/22,19:00,0,2198,1537,0,79,0,49,0,0,0,-498,0,0,3365,26.79
4/6/22,20:00,0,2185,1619,0,78,0,50,0,1,0,-515,0,0,3418,26.43
4/6/22,21:00,0,2132,1578,0,79,6,53,0,49,0,-473,0,0,3424,29.97
4/6/22,22:00,0,2233,1474,0,79,88,48,0,0,0,-579,0,0,3344,24.11
4/6/22,23:00,0,2105,1305,0,78,293,40,0,0,0,-621,0,0,3200,17.93
4/7/22,0:00,0,2048,1237,0,78,550,35,0,0,0,-630,0,0,3318,16.65
4/7/22,1:00,0,1847,1193,0,79,761,27,0,0,0,-469,0,0,3438,14.84
4/7/22,2:00,0,1602,1156,0,77,909,22,-59,0,0,-281,0,0,3427,3.73
4/7/22,3:00,0,1426,1192,0,78,976,17,-122,0,0,-140,0,0,3426,11.18
4/7/22,4:00,0,1270,1084,0,78,965,11,-122,0,0,-63,0,0,3223,0.01
4/7/22,5:00,0,1496,1096,0,77,890,23,-10,0,0,-259,0,0,3312,11.29
4/7/22,6:00,0,1675,1209,0,77,721,27,0,0,0,-422,0,0,3286,12.22
4/7/22,7:00,0,2145,1342,0,77,340,35,0,0,0,-627,0,0,3312,12.02
4/7/22,8:00,0,2249,1521,0,78,82,67,0,1,0,-646,0,0,3352,17.87
4/7/22,9:00,0,2258,1562,0,78,12,58,0,80,0,-698,0,0,3349,26.13
4/7/22,10:00,0,2228,1606,0,78,1,29,0,80,0,-662,0,0,3360,31.61
4/7/22,11:00,0,2181,1611,0,78,0,36,0,80,0,-723,0,0,3263,28.03
4/7/22,12:00,0,2222,1501,0,79,0,39,0,80,0,-773,0,0,3149,22.28
4/7/22,13:00,0,2336,1330,0,78,0,46,0,80,0,-826,0,0,3044,24.28
4/7/22,14:00,0,2304,1296,0,78,0,70,0,17,0,-757,0,0,3007,19.32
4/7/22,15:00,0,2289,1298,0,79,0,67,0,0,0,-793,0,0,2940,15.93
4/7/22,16:00,0,2171,1276,0,79,0,52,0,0,0,-745,0,0,2832,15.72
4/7/22,17:00,0,2261,1360,0,78,0,75,0,0,0,-834,0,0,2940,16.7
4/7/22,18:00,0,2252,1452,0,79,0,72,0,1,0,-713,0,0,3143,19.23
4/7/22,19:00,0,2212,1511,0,79,0,62,0,50,0,-625,0,0,3289,26.79
4/7/22,20:00,0,2217,1526,0,78,0,50,0,49,0,-561,0,0,3360,19.67
4/7/22,21:00,0,2222,1562,0,79,5,32,0,0,0,-539,0,0,3360,28.3
