,,Kansai,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kansai
4/8/22,13:00,2069,8581,1872,0,68,0,17,0,248,1535,0,0,0,14390,26.79
4/8/22,14:00,2069,8421,1574,0,68,0,19,0,249,1487,0,0,0,13889,30.63
4/8/22,15:00,2070,8218,1404,0,68,0,21,0,133,1368,0,0,0,13282,18.6
4/8/22,16:00,2070,7599,1107,0,68,0,25,0,237,1307,0,0,0,12413,19.87
4/8/22,17:00,2070,7622,1098,0,68,0,27,0,366,848,0,0,0,12098,19.94
4/8/22,18:00,2069,7746,1132,0,68,0,33,0,705,964,0,0,0,12718,22.76
4/8/22,19:00,2070,7430,1405,0,68,0,33,0,827,1397,0,0,0,13229,22.01
4/8/22,20:00,2070,7155,1407,0,68,0,29,0,771,1594,0,0,0,13094,18.34
4/8/22,21:00,2070,7066,1216,0,68,20,28,0,408,1802,0,0,0,12678,18.71
4/8/22,22:00,2071,6803,962,0,68,581,33,0,156,1664,0,0,0,12338,15.24
4/8/22,23:00,2071,5703,864,0,68,1876,23,0,118,1783,0,0,0,12507,0.09
4/9/22,0:00,2070,5366,847,0,68,3109,17,-425,0,2109,0,0,0,13162,0.01
4/9/22,1:00,2070,4670,854,0,68,4161,22,-860,0,2688,0,0,0,13673,0.01
4/9/22,2:00,2070,4127,753,0,68,4894,23,-1127,0,3099,0,0,0,13909,0.01
4/9/22,3:00,2070,3920,761,0,68,5256,27,-2026,0,3853,0,0,0,13928,0.01
4/9/22,4:00,2070,3903,755,0,68,5258,26,-2236,0,3809,0,0,0,13653,0.01
4/9/22,5:00,2070,4363,753,0,68,4934,24,-1940,0,3399,0,0,0,13671,0.01
4/9/22,6:00,2070,4378,792,0,68,4238,23,-1087,0,2982,0,0,0,13465,0.01
4/9/22,7:00,2070,4732,1082,0,68,3216,20,-793,0,2858,0,0,0,13254,0.01
4/9/22,8:00,2070,6146,1389,0,68,1990,17,-337,0,2093,0,0,0,13437,1.01
4/9/22,9:00,2069,7185,1595,0,68,752,20,0,241,1714,0,0,0,13645,15.96
4/9/22,10:00,2069,8492,1738,0,68,41,29,0,328,1167,0,0,0,13934,23.39
4/9/22,11:00,2069,8497,1902,0,68,0,41,0,253,1232,0,0,0,14062,23.39
4/9/22,12:00,2069,8233,1800,0,68,0,47,0,32,1367,0,0,0,13616,20.4
4/9/22,13:00,2069,7805,1721,0,68,0,49,0,0,1370,0,0,0,13082,18.18
4/9/22,14:00,2069,6977,1394,0,68,0,45,0,0,1834,0,0,0,12388,16.96
4/9/22,15:00,2069,6790,1256,0,68,0,39,-157,0,1854,0,0,0,11919,13.88
4/9/22,16:00,2069,5901,1140,0,68,0,19,-13,0,2024,0,0,0,11208,10.42
4/9/22,17:00,2069,6221,1158,0,68,0,17,-88,0,1509,0,0,0,10956,16.89
4/9/22,18:00,2069,6998,1201,0,68,0,15,0,349,878,0,0,0,11577,17.88
4/9/22,19:00,2069,6865,1385,0,68,0,8,0,395,1252,0,0,0,12043,18.33
4/9/22,20:00,2069,7117,1390,0,68,0,6,0,378,922,0,0,0,11951,19.94
4/9/22,21:00,2070,6752,1075,0,68,24,6,0,320,1246,0,0,0,11562,18.34
4/9/22,22:00,2070,6115,832,0,68,613,7,0,178,1289,0,0,0,11172,12.93
4/9/22,23:00,2070,5222,759,0,68,1888,9,-733,0,2046,0,0,0,11329,4.21
4/10/22,0:00,2070,4724,728,0,68,3122,11,-1971,0,2988,0,0,0,11741,0.01
4/10/22,1:00,2070,4281,709,0,68,4170,12,-2629,0,3560,0,0,0,12242,0.01
4/10/22,2:00,2069,3938,724,0,68,4903,14,-2956,0,3896,0,0,0,12657,0.01
4/10/22,3:00,2069,3899,759,0,68,5268,15,-3356,0,4131,0,0,0,12855,0.01
4/10/22,4:00,2070,3766,771,0,68,5266,16,-2959,0,3900,0,0,0,12899,0.01
4/10/22,5:00,2069,4060,776,0,68,4943,15,-2518,0,3387,0,0,0,12800,0.01
4/10/22,6:00,2069,4318,804,0,68,4235,14,-2069,0,3175,0,0,0,12614,0.01
4/10/22,7:00,2069,4799,1036,0,68,3215,14,-1033,0,2532,0,0,0,12701,0.01
4/10/22,8:00,2069,5463,1196,0,68,1916,17,0,205,2065,0,0,0,13000,8.62
4/10/22,9:00,2068,7048,1492,0,68,621,24,0,124,1773,0,0,0,13219,16.55
4/10/22,10:00,2069,8151,1813,0,68,37,36,0,322,1318,0,0,0,13815,20.1
