1,2,3,4,5,6,7,8,9
3183,22920,10668,6059,8396,8351,3008,12219,2760
3039,22760,10281,5791,7761,7995,2799,11892,2520
2874,23440,10345,5368,7028,7500,2610,11764,2290
2965,25130,10777,4994,6761,7453,2558,12155,2260
3017,26770,11162,5018,7278,7594,2605,12680,2310
3077,27180,11192,5102,7455,7570,2602,12902,2340
3028,26890,11263,5160,7546,7518,2594,12887,2340
2985,26360,11210,5174,7651,7370,2570,12901,2340
2992,25990,11159,5010,7465,7107,2505,12797,2330
2971,25790,11007,4848,7269,6960,2440,12451,2270
2941,26040,11054,4871,7247,6966,2413,12284,2230
2977,26800,11418,5029,7200,7374,2465,12622,2320
3143,28370,11964,5493,7889,7840,2586,13264,2470
3364,29990,12661,5685,8223,8442,2732,13766,2580
3395,29910,12601,5788,8443,8475,2793,13960,2630
3246,29020,12258,5659,8191,8341,2736,13668,2560
3133,27610,11737,5500,7902,7970,2645,13059,2450
2943,26000,11103,5199,7538,7539,2562,12444,2290
2923,24590,10784,5009,7237,7403,2504,11936,2240
2925,22850,10214,4832,6854,7257,2444,11176,2160
3045,22000,10023,4857,6845,7465,2569,10961,2210
3153,22130,10405,5285,7369,7783,2797,11597,2420
3237,22520,10824,5845,8023,8069,2971,12198,2670
3276,22960,11053,6059,8453,8333,3011,12296,2790
3218,23350,11393,6088,8534,8527,3026,12143,2790
3303,24730,12046,6032,8345,8559,3004,12553,2620
3356,27130,13332,5877,8062,8436,2980,13454,2540
3482,30510,15415,6139,8236,9093,3206,14854,2840
3589,32860,16650,6346,8656,9494,3340,16025,3030
3645,33030,16775,6247,8503,9322,3351,16167,3120
3649,33730,16892,6341,8697,9298,3362,16065,3140
3393,32840,15855,5914,8395,8972,3188,15358,2880
3505,34020,16740,6304,8650,9390,3324,15768,3050
3563,34290,16780,6390,8784,9470,3370,15994,2950
3577,34100,16576,6144,8799,9488,3347,15783,2920
3602,34640,16633,6221,9099,9688,3324,15835,2830
3605,34930,16184,6295,9196,9573,3220,15592,2840
3666,35120,16131,6446,9403,9856,3283,15774,2990
3592,34120,15561,6407,9383,9499,3218,15487,2960
3401,32760,14958,6227,9074,9108,3117,14834,2850
3225,30820,14489,5966,8575,8608,3021,14283,2670
3099,29050,13916,5672,8250,8156,2953,13628,2490
3099,27140,13535,5552,7891,7912,2869,13062,2430
3020,25010,12701,5379,7377,7573,2795,12095,2320
3109,24020,12292,5413,7343,7750,2884,11768,2350
3216,23990,12490,5799,7816,7951,3101,12379,2520
3322,24360,12901,6258,8436,8213,3252,13050,2760
3386,24710,13032,6462,8846,8419,3316,13136,2880
3306,25240,13117,6417,8881,8527,3279,13008,2870
3310,26250,13397,6262,8639,8510,3210,13235,2720
3215,27660,14125,6098,8345,8405,3119,13722,2650
3356,30370,15751,6316,8416,9076,3260,15040,2970
3452,32870,16725,6510,8608,9544,3421,16020,3070
3462,33780,16657,6541,8782,9489,3427,16345,3110
3425,33940,16570,6607,9058,9552,3441,16530,3190
3209,32840,15506,6292,8712,9037,3232,15791,3000
3249,33210,16156,6571,9018,9358,3342,16371,3180
3159,32700,16180,6446,8996,9298,3323,16187,3150
3132,32030,15913,6426,8768,9098,3282,16040,3020
3254,32110,15720,6530,8966,9229,3280,16194,3060
3306,31980,15304,6321,9127,9153,3230,15830,2980
3470,32820,15595,6403,9265,9577,3285,15711,2990
3505,32040,15229,6427,9323,9539,3254,15390,2950
3333,30870,14697,6273,8986,9243,3162,14783,2850
3174,29260,14113,6081,8505,8778,3069,14137,2690
2969,27840,13576,5771,8126,8333,2997,13554,2520
3016,26270,13121,5579,7802,8142,2925,12909,2430
2970,24250,12296,5451,7280,7907,2812,11964,2330
3050,23330,12098,5432,7253,8048,2899,11656,2360
3134,23350,12273,5785,7714,8388,3131,12236,2560
3252,23640,12700,6215,8391,8579,3280,12931,2810
3327,23960,12848,6462,8745,8784,3331,13013,2920
3228,24700,12846,6428,8768,8933,3323,12910,2910
3248,26830,13188,6316,8503,8836,3295,13223,2830
3167,29530,13880,6054,8044,8563,3154,13875,2730
3311,32840,15380,6211,8087,9198,3267,15211,2980
3455,34650,16344,6386,8538,9579,3408,16194,3130
3416,34710,16588,6370,8847,9512,3411,16504,3160
3416,34650,16503,6460,9163,9533,3435,16696,3160
3221,33380,15459,6166,8889,9005,3225,16183,3010
3254,34240,16109,6506,9114,9290,3334,16666,3130
3198,34410,16254,6366,9055,9195,3333,16497,3070
3179,34280,16005,6287,8915,9101,3280,16254,3040
3273,34340,15814,6371,9006,9287,3272,16250,3080
